row_idx,Polar_pretty_formula,NPolar_mpid,Polar_mpid,Energy_diff_meV,$M_A$,$M_B$,$M_X$,$A_{Mend}$,$B_{Mend}$,$X_{Mend}$,$A_{wt}$,$B_{wt}$,$X_{wt}$,$A_{Mend_wt}$,$B_{Mend_wt}$,X_AN,A_$E_{affinity}$,A_$r_{p/s+p+d}$,A_$IE_{I}$,A_$\chi_{Mulliken}$,B_$\chi_{Mulliken}$,B_$E_{affinity}$,B_$r_{p/s+p+d}$,X_$\chi_{Mulliken}$,X_$R_{covalent}$,X_$E_{affinity}$,X_$IE_{I}$,X_$N_e$,A_chi_calc,A_eta_calc,A_softness_calc,A_omega_calc,X_chi_calc,X_eta_calc,X_softness_calc,X_omega_calc,AX_chi_mismatch,AX_eta_mismatch,AXchi_x_dAcancel,Asoft_x_dAnet,polar_A_offcenter_mean_A,polar_A_offcenter_p90_A,polar_A_offcenter_max_A,npolar_A_offcenter_mean_A,npolar_A_offcenter_p90_A,npolar_A_offcenter_max_A,d_A_offcenter_mean_A,d_A_offcenter_p90_A,d_A_offcenter_max_A,polar_B_offcenter_mean_A,polar_B_offcenter_p90_A,polar_B_offcenter_max_A,polar_B_offcenter_frac_gt_0p10A,polar_B_offcenter_frac_gt_0p20A,npolar_B_offcenter_mean_A,npolar_B_offcenter_p90_A,npolar_B_offcenter_max_A,npolar_B_offcenter_frac_gt_0p10A,npolar_B_offcenter_frac_gt_0p20A,d_B_offcenter_mean_A,d_B_offcenter_p90_A,d_B_offcenter_max_A,d_B_offcenter_frac_gt_0p10A,polar_AX_dist_mean_A,polar_AX_dist_std_A,polar_AX_dist_distortion,npolar_AX_dist_mean_A,npolar_AX_dist_std_A,npolar_AX_dist_distortion,d_AX_dist_mean_A,d_AX_dist_std_A,d_AX_dist_distortion,polar_BX_dist_mean_A,polar_BX_dist_std_A,polar_BX_dist_distortion,npolar_BX_dist_mean_A,npolar_BX_dist_std_A,npolar_BX_dist_distortion,d_BX_dist_mean_A,d_BX_dist_std_A,d_BX_dist_distortion,polar_A_cage_asph_mean,polar_A_cage_asph_std,npolar_A_cage_asph_mean,npolar_A_cage_asph_std,d_A_cage_asph_mean,d_A_cage_asph_std,polar_A_CN_mean,polar_A_CN_mode,npolar_A_CN_mean,npolar_A_CN_mode,d_A_CN_mean,polar_B_CN_mean,polar_B_CN_mode,npolar_B_CN_mean,npolar_B_CN_mode,d_B_CN_mean,polar_n_A_sites,npolar_n_A_sites,polar_n_B_sites,npolar_n_B_sites,polar_n_X_sites,npolar_n_X_sites,polar_Ewald_eV_per_atom,npolar_Ewald_eV_per_atom,d_Ewald_eV_per_atom,polar_Ewald_A_siteE_mean_eV,polar_Ewald_A_siteE_std_eV,polar_Ewald_B_siteE_mean_eV,polar_Ewald_B_siteE_std_eV,polar_Ewald_X_siteE_mean_eV,polar_Ewald_X_siteE_std_eV,npolar_Ewald_A_siteE_mean_eV,npolar_Ewald_A_siteE_std_eV,npolar_Ewald_B_siteE_mean_eV,npolar_Ewald_B_siteE_std_eV,npolar_Ewald_X_siteE_mean_eV,npolar_Ewald_X_siteE_std_eV,d_Ewald_A_siteE_mean_eV,d_Ewald_A_siteE_std_eV,d_Ewald_B_siteE_mean_eV,d_Ewald_B_siteE_std_eV,d_Ewald_X_siteE_mean_eV,d_Ewald_X_siteE_std_eV,split
0,CaMn2O4,mp-1003311,mp-1003548,23.55335,40.078,54.938045,15.9994,16,60,101,0.142857143,0.285714286,0.571428571,2.285714286,17.14285714,8,0.024563319,0.502994012,6.112846243,3.068704781,3.717145312,-0.518213483,0.502040816,7.53936359,0.63,1.461113279,13.6176139,8,3.068704781,3.044141462,0.328499845,1.546733151,7.53936359,6.078250311,0.16452103,4.675852459,4.470658809,3.034108849,-4.342294751,0.00138067,0.127236111,0.213167186,0.23829302,4.14E-05,4.14E-05,4.14E-05,0.127194673,0.213125748,0.238251582,0.195078731,0.226293254,0.226293254,1,0.25,0.433943217,0.433963221,0.433968222,1,1,-0.238864486,-0.207669966,-0.207674967,0,2.351402339,0.047434413,0.020172819,2.373212973,0.032421642,0.013661497,-0.021810633,0.015012771,0.006511322,2.034278284,0.14635006,0.071942006,1.92224179,0.020361762,0.010592717,0.112036493,0.125988297,0.061349289,0.229933259,0.00514374,0.658308287,0,-0.428375028,0.00514374,6,6,6,6,0,5,5,5,5,0,4,1,8,2,16,4,-30.77767586,-31.16494865,0.387272791,-21.07654168,0.063831048,-49.75896683,0.189355002,-23.71231392,0.398774041,-21.84392143,0,-49.18674956,7.25E-06,-24.484305,0.071345841,0.767379751,0.063831048,-0.572217271,0.189347754,0.771991082,0.327428199,train
1,CaMn2O4,mp-1004038,mp-1003548,-14.317197,40.078,54.938045,15.9994,16,60,101,0.142857143,0.285714286,0.571428571,2.285714286,17.14285714,8,0.024563319,0.502994012,6.112846243,3.068704781,3.717145312,-0.518213483,0.502040816,7.53936359,0.63,1.461113279,13.6176139,8,3.068704781,3.044141462,0.328499845,1.546733151,7.53936359,6.078250311,0.16452103,4.675852459,4.470658809,3.034108849,0.128364057,0.001394282,0.127236111,0.213167186,0.23829302,0.347803823,0.347803823,0.347803823,-0.220567713,-0.134636638,-0.109510804,0.195078731,0.226293254,0.226293254,1,0.25,0.213615407,0.267307866,0.267307866,1,0.5,-0.018536676,-0.041014611,-0.041014611,0,2.351402339,0.047434413,0.020172819,2.649184274,0.38763668,0.146323034,-0.297781934,-0.340202267,-0.126150215,2.034278284,0.14635006,0.071942006,2.090084665,0.242492772,0.11602055,-0.055806381,-0.096142712,-0.044078544,0.229933259,0.00514374,0.073482425,5.64E-17,0.156450835,0.00514374,6,6,8,8,-2,5,5,5.5,5,-0.5,4,4,8,8,16,16,-30.77767586,-30.72192592,-0.055749937,-21.07654168,0.063831048,-49.75896683,0.189355002,-23.71231392,0.398774041,-20.78355207,1.78E-15,-49.54881853,0.052459556,-23.79307309,0.316388198,-0.292989615,0.063831048,-0.210148304,0.136895446,0.080759167,0.082385842,train
2,CaMn2O4,mp-1042028,mp-1003548,-92.92366,40.078,54.938045,15.9994,16,60,101,0.142857143,0.285714286,0.571428571,2.285714286,17.14285714,8,0.024563319,0.502994012,6.112846243,3.068704781,3.717145312,-0.518213483,0.502040816,7.53936359,0.63,1.461113279,13.6176139,8,3.068704781,3.044141462,0.328499845,1.546733151,7.53936359,6.078250311,0.16452103,4.675852459,4.470658809,3.034108849,-1.28538239,0.001394282,0.127236111,0.213167186,0.23829302,3.72E-16,4.72E-16,4.97E-16,0.127236111,0.213167186,0.23829302,0.195078731,0.226293254,0.226293254,1,0.25,0.01589035,0.0317807,0.0317807,0,0,0.179188381,0.194512554,0.194512554,1,2.351402339,0.047434413,0.020172819,3.206085083,1.307668279,0.407870735,-0.854682744,-1.260233866,-0.387697916,2.034278284,0.14635006,0.071942006,2.052185081,0.086850888,0.042321177,-0.017906797,0.059499172,0.029620829,0.229933259,0.00514374,0.813070974,0.005491899,-0.583137714,-0.000348158,6,6,6,6,0,5,5,5,4,0,4,2,8,4,16,8,-30.77767586,-30.64310975,-0.134566111,-21.07654168,0.063831048,-49.75896683,0.189355002,-23.71231392,0.398774041,-22.45516221,1.97E-05,-50.05379671,4.605718581,-22.98475315,0.379920424,1.378620523,0.063811383,0.294829879,-4.41636358,-0.727560765,0.018853617,train
3,CaMn2O4,mp-1042262,mp-1003548,32.151707,40.078,54.938045,15.9994,16,60,101,0.142857143,0.285714286,0.571428571,2.285714286,17.14285714,8,0.024563319,0.502994012,6.112846243,3.068704781,3.717145312,-0.518213483,0.502040816,7.53936359,0.63,1.461113279,13.6176139,8,3.068704781,3.044141462,0.328499845,1.546733151,7.53936359,6.078250311,0.16452103,4.675852459,4.470658809,3.034108849,0.128364057,0.001394282,0.127236111,0.213167186,0.23829302,0.139075937,0.163763836,0.163763836,-0.011839826,0.04940335,0.074529183,0.195078731,0.226293254,0.226293254,1,0.25,0.069638416,0.141030341,0.141030341,0.5,0,0.125440315,0.085262913,0.085262913,0.5,2.351402339,0.047434413,0.020172819,2.408500326,0.056261649,0.023359618,-0.057097987,-0.008827236,-0.0031868,2.034278284,0.14635006,0.071942006,2.08808093,0.158453018,0.07588452,-0.053802647,-0.012102959,-0.003942514,0.229933259,0.00514374,0.248871253,0.0176702,-0.018937994,-0.012526459,6,6,6,6,0,5,5,6,6,-1,4,4,8,8,16,16,-30.77767586,-30.69199118,-0.08568468,-21.07654168,0.063831048,-49.75896683,0.189355002,-23.71231392,0.398774041,-21.69605986,0.230277157,-48.31633949,0.52785023,-24.12879985,0.332171842,0.619518175,-0.166446109,-1.442627339,-0.338495228,0.416485935,0.066602199,train
4,CaMn2O4,mp-18844,mp-1003548,72.40004,40.078,54.938045,15.9994,16,60,101,0.142857143,0.285714286,0.571428571,2.285714286,17.14285714,8,0.024563319,0.502994012,6.112846243,3.068704781,3.717145312,-0.518213483,0.502040816,7.53936359,0.63,1.461113279,13.6176139,8,3.068704781,3.044141462,0.328499845,1.546733151,7.53936359,6.078250311,0.16452103,4.675852459,4.470658809,3.034108849,0.128355413,0.001393504,0.127236111,0.213167186,0.23829302,1.224335259,1.224336721,1.224337056,-1.097099148,-1.011169536,-0.986044037,0.195078731,0.226293254,0.226293254,1,0.25,0.093947317,0.093998694,0.094002061,0,0,0.101131414,0.13229456,0.132291194,1,2.351402339,0.047434413,0.020172819,2.424270769,0.128856975,0.053152881,-0.07286843,-0.081422562,-0.032980062,2.034278284,0.14635006,0.071942006,1.926095176,0.025682655,0.013334053,0.108183108,0.120667405,0.058607953,0.229933259,0.00514374,0.494849562,1.34E-06,-0.264916302,0.005142399,6,6,8,8,-2,5,5,6,6,-1,4,4,8,8,16,16,-30.77767586,-31.47090983,0.693233971,-21.07654168,0.063831048,-49.75896683,0.189355002,-23.71231392,0.398774041,-22.21928428,0.000110031,-51.10978787,0.000348767,-23.9643772,0.274329166,1.142742601,0.063721018,1.350821034,0.189006234,0.252063281,0.124444875,train
5,CaMn2O4,mvc-11565,mp-1003548,30.524038,40.078,54.938045,15.9994,16,60,101,0.142857143,0.285714286,0.571428571,2.285714286,17.14285714,8,0.024563319,0.502994012,6.112846243,3.068704781,3.717145312,-0.518213483,0.502040816,7.53936359,0.63,1.461113279,13.6176139,8,3.068704781,3.044141462,0.328499845,1.546733151,7.53936359,6.078250311,0.16452103,4.675852459,4.470658809,3.034108849,0.128364057,0.001394282,0.127236111,0.213167186,0.23829302,1.396012913,1.396012913,1.396012913,-1.268776802,-1.182845727,-1.157719893,0.195078731,0.226293254,0.226293254,1,0.25,3.45E-17,5.60E-17,6.41E-17,0,0,0.195078731,0.226293254,0.226293254,1,2.351402339,0.047434413,0.020172819,3.134993585,0.648831256,0.206964141,-0.783591246,-0.601396843,-0.186791323,2.034278284,0.14635006,0.071942006,2.129245954,0.233289459,0.109564355,-0.09496767,-0.086939399,-0.037622349,0.229933259,0.00514374,0.509700544,0,-0.279767285,0.00514374,6,6,12,12,-6,5,5,6,6,-1,4,2,8,4,16,8,-30.77767586,-30.96359066,0.185914795,-21.07654168,0.063831048,-49.75896683,0.189355002,-23.71231392,0.398774041,-21.98234057,2.51E-15,-49.81798194,4.05E-06,-23.78170753,1.95E-05,0.905798884,0.063831048,0.059015111,0.189350953,0.069393615,0.398754577,train
6,CaMn2O4,mvc-12108,mp-1003548,41.663647,40.078,54.938045,15.9994,16,60,101,0.142857143,0.285714286,0.571428571,2.285714286,17.14285714,8,0.024563319,0.502994012,6.112846243,3.068704781,3.717145312,-0.518213483,0.502040816,7.53936359,0.63,1.461113279,13.6176139,8,3.068704781,3.044141462,0.328499845,1.546733151,7.53936359,6.078250311,0.16452103,4.675852459,4.470658809,3.034108849,0.12654904,0.001246573,0.127236111,0.213167186,0.23829302,1.10754343,1.107891822,1.10797892,-0.980307319,-0.894724637,-0.869685901,0.195078731,0.226293254,0.226293254,1,0.25,0.002880815,0.003819281,0.004305195,0,0,0.192197916,0.222473973,0.22198806,1,2.351402339,0.047434413,0.020172819,2.948090962,0.734507792,0.249146923,-0.596688623,-0.68707338,-0.228974105,2.034278284,0.14635006,0.071942006,2.586236016,1.202952415,0.465136363,-0.551957732,-1.056602356,-0.393194358,0.229933259,0.00514374,0.351799162,5.08E-05,-0.121865903,0.005092928,6,6,8,8,-2,5,5,6,6,-1,4,2,8,4,16,8,-30.77767586,-31.04407566,0.2663998,-21.07654168,0.063831048,-49.75896683,0.189355002,-23.71231392,0.398774041,-21.86155388,0.003226727,-50.27571783,0.015116209,-23.72388502,0.039736977,0.785012192,0.060604321,0.516751002,0.174238792,0.0115711,0.359037064,train
7,CaMn2O4,mvc-12244,mp-1003548,-68.839264,40.078,54.938045,15.9994,16,60,101,0.142857143,0.285714286,0.571428571,2.285714286,17.14285714,8,0.024563319,0.502994012,6.112846243,3.068704781,3.717145312,-0.518213483,0.502040816,7.53936359,0.63,1.461113279,13.6176139,8,3.068704781,3.044141462,0.328499845,1.546733151,7.53936359,6.078250311,0.16452103,4.675852459,4.470658809,3.034108849,0.047108267,-0.001357673,0.127236111,0.213167186,0.23829302,0.460876304,0.465815824,0.467050704,-0.333640194,-0.252648638,-0.228757684,0.195078731,0.226293254,0.226293254,1,0.25,0.75312595,1.215141491,1.215376836,1,1,-0.558047218,-0.988848236,-0.989083581,0,2.351402339,0.047434413,0.020172819,2.377196385,0.147628607,0.062101982,-0.025794045,-0.100194194,-0.041929163,2.034278284,0.14635006,0.071942006,2.051388702,0.10692667,0.052124042,-0.017110418,0.039423389,0.019817964,0.229933259,0.00514374,0.630937278,0.000908611,-0.401004018,0.004235129,6,6,6,6,0,5,5,5.5,5,-0.5,4,2,8,4,16,8,-30.77767586,-30.86302662,0.085350761,-21.07654168,0.063831048,-49.75896683,0.189355002,-23.71231392,0.398774041,-20.85800844,0.006794706,-50.74978038,0.634330828,-23.42090428,0.182706305,-0.218533239,0.057036343,0.990813549,-0.444975827,-0.291409634,0.216067736,train
8,CaMn2O4,mvc-15430,mp-1003548,39.208874,40.078,54.938045,15.9994,16,60,101,0.142857143,0.285714286,0.571428571,2.285714286,17.14285714,8,0.024563319,0.502994012,6.112846243,3.068704781,3.717145312,-0.518213483,0.502040816,7.53936359,0.63,1.461113279,13.6176139,8,3.068704781,3.044141462,0.328499845,1.546733151,7.53936359,6.078250311,0.16452103,4.675852459,4.470658809,3.034108849,0.125267203,0.001141622,0.127236111,0.213167186,0.23829302,1.110327446,1.110784208,1.110898398,-0.983091335,-0.897617022,-0.872605379,0.195078731,0.226293254,0.226293254,1,0.25,0.001414714,0.002552778,0.003274756,0,0,0.193664017,0.223740476,0.223018498,1,2.351402339,0.047434413,0.020172819,2.936338624,0.734651266,0.250192965,-0.584936285,-0.687216853,-0.230020146,2.034278284,0.14635006,0.071942006,2.13055337,0.256531136,0.120405872,-0.096275086,-0.110181076,-0.048463866,0.229933259,0.00514374,0.379292597,0.000145952,-0.149359337,0.004997788,6,6,8,8,-2,5,5,6,6,-1,4,2,8,4,16,8,-30.77767586,-31.00505956,0.227383701,-21.07654168,0.063831048,-49.75896683,0.189355002,-23.71231392,0.398774041,-22.00267949,0.001288781,-50.05571404,0.026925432,-23.73032734,0.063049217,0.926137806,0.062542268,0.296747211,0.16242957,0.01801342,0.335724824,train
9,LiMn3O6,mp-753228,mp-1003637,-7.847032,6.941,54.938045,15.9994,12,60,101,0.1,0.3,0.6,1.2,18,8,0.618048347,0.388198758,5.391493075,3.004770711,3.717145312,-0.518213483,0.502040816,7.53936359,0.63,1.461113279,13.6176139,8,3.004770711,2.386722364,0.418984635,1.891432191,7.53936359,6.078250311,0.16452103,4.675852459,4.534592879,3.691527947,4.534592879,0.213345092,0.509195502,0.509195502,0.509195502,0,0,0,0.509195502,0.509195502,0.509195502,0.134253769,0.173808274,0.17884995,0.666666667,0,0.003629686,0.005444529,0.005444529,0,0,0.130624083,0.168363745,0.173405421,0.666666667,4.497298645,1.832757941,0.40752418,2.191655667,0.069115891,0.031535926,2.305642977,1.76364205,0.375988254,4.713395131,1.889203306,0.400815814,1.985078661,0.10008065,0.050416465,2.728316471,1.789122656,0.350399348,0.971243665,0,0.214840593,0,0.756403071,0,6,6,6,6,0,6,6,6,6,0,1,1,3,3,6,6,-38.54448906,-37.62750568,-0.916983375,-8.404007118,0,-74.01625401,1.327144492,-25.83202024,0.532068473,-8.49437973,0,-69.173896,2.190133631,-26.70983152,0.6168624,0.090372612,0,-4.842358008,-0.862989139,0.877811277,-0.084793927,train
